date_of_sale,address,location,total_area,rooms,plot_area,closing_price
Såld 11 maj 2021,Almvägen 21,"Diseröd,          Kungälvs kommun",158+8 m²,8,130,5300000
Såld 10 maj 2021,Glose 630,"Kärna,          Kungälvs kommun",96+17 m²,3,187,4150000
Såld 10 maj 2021,Lerlycke 240,"Kärna,          Kungälvs kommun",135+44 m²,3,78,6000000
Såld 8 maj 2021,Bergkristallvägen 5,"Kode,          Kungälvs kommun",126+9 m²,5,477,5000000
Såld 7 maj 2021,Veneröd 640,"Hålta,          Kungälvs kommun",70 m²,,606,820000
Såld 7 maj 2021,Lundby 502,"Kareby,          Kungälvs kommun",137+4 m²,4,174,5700000
Såld 7 maj 2021,Hällristningsgatan 18,"Ytterby - Stället,          Kungälvs kommun",103+9 m²,4,281,4650000
Såld 5 maj 2021,Hareslättsvägen 8,"Marstrand,          Kungälvs kommun",188+30 m²,6,676,8800000
Såld 5 maj 2021,Sundviksvägen 39,"Tjuvkil,          Kungälvs kommun",117+5 m²,5,447,6300000
Såld 5 maj 2021,Prejelvägen 109,"Ullstorp,          Kungälvs kommun",122+12 m²,5,432,5640000
Såld 29 april 2021,Holm 220,"Bohuslän,          Kungälvs kommun",175+93 m²,7,907,10000000
Såld 29 april 2021,Mycklaborgsgatan 3,"Centrum,          Kungälvs kommun",149+20 m²,5,684,5100000
Såld 29 april 2021,Östra gatan 34,"Bohuslän,          Kungälvs kommun",208+49 m²,8,419,6000000
Såld 28 april 2021,Bastubäcksvägen 33,"Ödsmålsmosse,          Kungälvs kommun",85+4 m²,4,205,4175000
Såld 26 april 2021,Ulvebackegatan 20,"Ulvegärde,          Kungälvs kommun",196+30 m²,6,766,6500000
Såld 25 april 2021,Gårdskiftegatan 67,"Ytterby,          Kungälvs kommun",103+34 m²,4,780,5000000
Såld 21 april 2021,Enekullsvägen 52B,"Ytterby,          Kungälvs kommun",185+6 m²,6,795,6400000
Såld 20 april 2021,Gulskärsvägen 21,"Tjuvkil,          Kungälvs kommun",149+14 m²,6,512,7400000
Såld 20 april 2021,Mårdgatan 4,"Olseröd,          Kungälvs kommun",124+45 m²,5,122,7150000
Såld 19 april 2021,Lilla Fjellsholmen 22,"Lilla Fjellsholmen,          Kungälvs kommun",4 m²,4,406,8900000
Såld 16 april 2021,Lindvägen 8,"Ytterby,          Kungälvs kommun",244+72 m²,7,330,7700000
Såld 16 april 2021,Stenåldersgatan 41,"Ytterby,          Kungälvs kommun",120+5 m²,5,404,5350000
Såld 16 april 2021,Harkvägen 335,"Ullstorp,          Kungälvs kommun",131+4 m²,4,,4610000
Såld 15 april 2021,Prästvägen 296,"Kareby,          Kungälvs kommun",187+6 m²,6,434,8100000
Såld 15 april 2021,Duvesjön 228,"Diseröd,          Kungälvs kommun",121+37 m²,5,150,4925000
Såld 15 april 2021,Kuskalundsvägen 11,"Hålta,          Kungälvs kommun",110+49 m²,3,227,4025000
Såld 14 april 2021,Ulvesund 412,"Ulvesund,          Kungälvs kommun",106+9 m²,4,806,4750000
Såld 13 april 2021,Mantalsgatan 15,"Tega,          Kungälvs kommun",110+4 m²,4,986,3725000
Såld 13 april 2021,Klintegatan 7,"Kungälv - Centrum,          Kungälvs kommun",143+112 m²,5,798,7750000
Såld 12 april 2021,Duvesjön 205,"Diseröd,          Kungälvs kommun",126+4 m²,4,62,4700000
Såld 8 april 2021,Nygatan 6,"Marstrand - Koön,          Kungälvs kommun",90+4 m²,4,376,7500000
Såld 8 april 2021,Prästvägen 170,"Kareby,          Kungälvs kommun",95+140 m²,7,868,3770000
Såld 4 april 2021,Hammarberg 825,"Kode,          Kungälvs kommun",65+74 m²,5,30,4350000
Såld 2 april 2021,Duvesjön 420,"Bohuslän,          Kungälvs kommun",127+10 m²,5,834,5400000
Såld 1 april 2021,Rönnvägen 11,"Diseröd,          Kungälvs kommun",120+88 m²,6,849,3465000
Såld 1 april 2021,Toreby mosse 570,"Ytterby,          Kungälvs kommun",110+80 m²,8,375,2980000
Såld 1 april 2021,Häljeröd 106,"Diseröd,          Kungälvs kommun",120+90 m²,8,734,3700000
Såld 26 mars 2021,Domsvägen 7B,"Centralt Ytterby,          Kungälvs kommun",159+62 m²,6,600,5500000
Såld 25 mars 2021,Grandalen 110,"Duvesjön,          Kungälvs kommun",65+2 m²,2,121,2375000
Såld 25 mars 2021,Kroken 142,"Harestad,          Kungälvs kommun",,,175,3900000
Såld 23 mars 2021,Ekvägen 2,"Ytterby,          Kungälvs kommun",177+60 m²,7,769,7700000
Såld 22 mars 2021,Råckeröd 140,"Kärna,          Kungälvs kommun",66+20 m²,3,269,3800000
Såld 19 mars 2021,Nätstigen 7,"Centralt,          Kungälvs kommun",120+4 m²,4,299,3900000
Såld 18 mars 2021,Hallbjörtorp 492,"Kärna,          Kungälvs kommun",104+8 m²,3,499,3900000
Såld 18 mars 2021,Dösebacka 130,"Diseröd,          Kungälvs kommun",123+41 m²,6,859,5350000
Såld 17 mars 2021,Åsgatan 17A,"Centrum,          Kungälvs kommun",84+44 m²,4,903,5620000
Såld 17 mars 2021,Tvetgatan 263,"Tveten,          Kungälvs kommun",100+50 m²,6,138,3850000
Såld 16 mars 2021,Olserödsgatan 86,"Kungälv - Olseröd,          Kungälvs kommun",104+5 m²,5,288,4050000
Såld 16 mars 2021,Tjuvkil 450,"Tjuvkil,          Kungälvs kommun",237+118 m²,8,434,3120000
Såld 16 mars 2021,Rondan 19,"Rörtången / Ödsmålsmosse,          Kungälvs kommun",60+60 m²,4,927,4400000
Såld 16 mars 2021,Åsebyberg 960,"Kode,          Kungälvs kommun",157+16 m²,5,38,3850000
Såld 16 mars 2021,Ulvegärdegatan 15,"Ulvegärde,          Kungälvs kommun",140+96 m²,7,438,6100000
Såld 15 mars 2021,Solhultsgatan 27,"Komarken,          Kungälvs kommun",100+4 m²,4,560,3315000
Såld 12 mars 2021,Flateby 480,"Harestad,          Kungälvs kommun",59+16 m²,3,194,1600000
Såld 11 mars 2021,Björkebacka 114,"Kareby,          Kungälvs kommun",104+5 m²,5,996,5100000
Såld 10 mars 2021,Älvängen 130,"Harestad,          Kungälvs kommun",317+71 m²,10,180,5250000
Såld 3 mars 2021,Tegskiftegatan 46,"Ytterby,          Kungälvs kommun",184+54 m²,8,865,6850000
Såld 2 mars 2021,Sjöhåla strandväg 12,"Kärna,          Kungälvs kommun",99+4 m²,4,441,4350000
Såld 27 februari 2021,Skardet 120,"Kode,          Kungälvs kommun",141+6 m²,6,86,5300000
Såld 27 februari 2021,Granliden 11,"Vedhall,          Kungälvs kommun",253+23 m²,5,578,9200000
Såld 25 februari 2021,Önneröd 220,"Kärna,          Kungälvs kommun",112+4 m²,4,370,3000000
Såld 24 februari 2021,Duvesjön 232,"Duvesjön,          Kungälvs kommun",122+5 m²,5,76,4725000
Såld 22 februari 2021,Annas väg 4,"Kärna,          Kungälvs kommun",102+7 m²,4,158,3700000
Såld 18 februari 2021,Madängsgatan 13,"Centrum,          Kungälvs kommun",154+18 m²,7,740,5750000
Såld 15 februari 2021,Bokvägen 12,"Fontin,          Kungälvs kommun",175+35 m²,6,635,7400000
Såld 12 februari 2021,Tullaregatan 3,"Marstrandsön,          Kungälvs kommun",160+5 m²,5,333,15800000
Såld 11 februari 2021,Ulvegärdegatan 15B,"Ulvegärde,          Kungälvs kommun",80+4 m²,4,914,3700000
Såld 10 februari 2021,Guddeby 174,"Ytterby / Guddeby,          Kungälvs kommun",143+6 m²,6,257,5475000
Såld 9 februari 2021,Gamla Trollhättevägen 6,"Centralt,          Kungälvs kommun",210+170 m²,8,368,7600000
Såld 8 februari 2021,Lybeck 151,"Diseröd,          Kungälvs kommun",117+40 m²,4,572,5120000
Såld 5 februari 2021,Furuvägen 8,"Diseröd,          Kungälvs kommun",102+102 m²,4,715,3100000
Såld 4 februari 2021,Barlinds Väg 4B,"Instön,          Kungälvs kommun",80+25 m²,4,,7900000
Såld 3 februari 2021,Settungsvägen 48,"Ullstorp,          Kungälvs kommun",123+22 m²,4,543,5935000
Såld 3 februari 2021,Toftebergsvägen 2,"Tjuvkil,          Kungälvs kommun",85+6 m²,5,85,3895000
Såld 31 januari 2021,Skårshöjd 6,"Kärna,          Kungälvs kommun",107+3 m²,3,909,4575000
Såld 29 januari 2021,Lyckevägen 5C,"Kärna,          Kungälvs kommun",95+61 m²,3,60,4500000
Såld 28 januari 2021,Odlingsgatan 88,"Ytterby,          Kungälvs kommun",130+5 m²,5,464,5275000
Såld 28 januari 2021,Rishammarvägen 2,"Kareby,          Kungälvs kommun",155+62 m²,8,86,6770000
Såld 28 januari 2021,Lerlycke 210,"Kärna,          Kungälvs kommun",148+5 m²,5,925,4030000
Såld 27 januari 2021,Näckrosvägen 7A,"Kärna,          Kungälvs kommun",140+5 m²,5,321,6650000
Såld 27 januari 2021,Lilla Fjellsholmen 11,"Lilla Fjellsholmen,          Kungälvs kommun",103+5 m²,5,414,8700000
Såld 26 januari 2021,Åsebyberg 655,"Åsebyberg,          Kungälvs kommun",35+2 m²,2,854,2700000
Såld 24 januari 2021,Håkons gata 2,"Centrum,          Kungälvs kommun",124+124 m²,6,6,5350000
Såld 23 januari 2021,Beryllvägen 11,"Kode,          Kungälvs kommun",123+5 m²,5,350,3650000
Såld 22 januari 2021,Glöskär 390,"Kärna,          Kungälvs kommun",170+5 m²,5,171,5100000
Såld 21 januari 2021,Täljstensgatan 4,"Ytterby,          Kungälvs kommun",70+12 m²,3,478,3600000
Såld 19 januari 2021,Glose 650,"Bohuslän,          Kungälvs kommun",75 m²,,702,2950000
Såld 18 januari 2021,Bärtas väg 10,"Ödsmålsmosse,          Kungälvs kommun",30+2 m²,2,525,1600000
Såld 13 januari 2021,Kantorvägen 3,"Bohuslän,          Kungälvs kommun",165+14 m²,5,761,4625000
Såld 12 januari 2021,Holm 160,"Kärna,          Kungälvs kommun",143+108 m²,5,125,4525000
Såld 11 januari 2021,Högsberg 355,"Kode,          Kungälvs kommun",98+4 m²,4,797,3825000
Såld 7 januari 2021,Skårby station 215,"Kareby,          Kungälvs kommun",95+88 m²,5,498,3700000
Såld 23 december 2020,Signehög 240,"Signehög,          Kungälvs kommun",121+77 m²,3,,2500000
Såld 21 december 2020,Munkegärdegatan 253,"Kungälv Munkegärde,          Kungälvs kommun",134+110 m²,8,899,6060000
Såld 18 december 2020,Klintegatan 21,"Kungälv,          Kungälvs kommun",90+3 m²,3,672,3800000
Såld 16 december 2020,Prästvägen 788,"Bohuslän,          Kungälvs kommun",175+8 m²,8,456,6150000
Såld 12 december 2020,Almvägen 19,"Bohuslän,          Kungälvs kommun",162+4 m²,4,801,5325000
Såld 9 december 2020,Oxelvägen 80,"Diseröd,          Kungälvs kommun",139+20 m²,7,751,5475000
Såld 8 december 2020,Byvägen 42,"Kode,          Kungälvs kommun",54 m²,,521,1750000
Såld 4 december 2020,Källeröd 193,"Kareby,          Kungälvs kommun",126+6 m²,6,163,4495000
Såld 2 december 2020,Ulvesund 415,"Ytterby,          Kungälvs kommun",48+3 m²,3,791,2060000
Såld 2 december 2020,Bollestad 130,"Kareby,          Kungälvs kommun",145+55 m²,6,554,3975000
Såld 1 december 2020,Klockarvägen 6,"Bohuslän,          Kungälvs kommun",137+5 m²,5,561,4450000
Såld 1 december 2020,Västerhöjdsvägen 36,"Kärna,          Kungälvs kommun",107+4 m²,4,258,4425000
Såld 30 november 2020,Sjöstigen 7,"Kungälv,          Kungälvs kommun",115+5 m²,5,289,3400000
Såld 30 november 2020,Alekärr 125,"Romelanda,          Kungälvs kommun",120+4 m²,4,950,5600000
Såld 30 november 2020,Rörmossevägen 170,"Kungälv,          Kungälvs kommun",214+8 m²,8,864,4950000
Såld 29 november 2020,Kroken 210,"Bohuslän,          Kungälvs kommun",139+39 m²,6,447,5500000
Såld 28 november 2020,Mellan-Restad 355,"Bohuslän,          Kungälvs kommun",70+15 m²,4,851,4160000
Såld 24 november 2020,Lönnvägen 1,"Ytterby,          Kungälvs kommun",137+6 m²,6,630,4800000
Såld 24 november 2020,Hammarberg 900,"Kode,          Kungälvs kommun",75+4 m²,4,106,2575000
Såld 23 november 2020,Brunnefjällsvägen 27,"Vedhall,          Kungälvs kommun",60+4 m²,4,571,2300000
Såld 22 november 2020,Onyxvägen 5,"Kode,          Kungälvs kommun",155+5 m²,5,532,5100000
Såld 20 november 2020,Olgas väg 1C,"Timmervik,          Kungälvs kommun",140+5 m²,5,342,5525000
Såld 19 november 2020,Ametistvägen 1,"Kode,          Kungälvs kommun",98+92 m²,5,936,4135000
Såld 18 november 2020,Ställets bygata 98,"Ytterby - Stället,          Kungälvs kommun",163+6 m²,6,632,5850000
Såld 13 november 2020,Barlinds väg 23,"Marstrand - Instön,          Kungälvs kommun",114+5 m²,5,340,7000000
Såld 11 november 2020,Slottsgatan 11,"Marstrand - Koön,          Kungälvs kommun",142+5 m²,5,448,14000000
Såld 10 november 2020,Duvesjön 359,"Diseröd,          Kungälvs kommun",117+40 m²,4,91,4170000
Såld 9 november 2020,Dalvägen 17,"Ödsmålsmosse,          Kungälvs kommun",45+40 m²,4,36,2800000
Såld 4 november 2020,Bergkristallvägen 25,"Kode,          Kungälvs kommun",127+5 m²,5,531,4700000
Såld 4 november 2020,Guddeby 172,"Ytterby,          Kungälvs kommun",143+6 m²,6,90,5275000
Såld 29 oktober 2020,Kornhall 210,"Kornhall,          Kungälvs kommun",110+22 m²,5,570,4060000
Såld 26 oktober 2020,Olserödsgatan 32,"Olseröd,          Kungälvs kommun",118+6 m²,6,274,3905000
Såld 26 oktober 2020,Nolhagsvägen 22,"Aröd,          Kungälvs kommun",102+71 m²,5,489,5000000
Såld 23 oktober 2020,Solberga 510,"Solberga,          Kungälvs kommun",98+58 m²,4,517,4195000
Såld 23 oktober 2020,Grindbacken 17,"Grinden,          Kungälvs kommun",191+20 m²,6,958,8600000
Såld 22 oktober 2020,Skårby station 453,"Kareby,          Kungälvs kommun",129+5 m²,5,950,3995000
Såld 19 oktober 2020,Nämndemansvägen 25,"Ytterby,          Kungälvs kommun",136+25 m²,4,560,4850000
Såld 16 oktober 2020,Harkeröd 380,"Hålta,          Kungälvs kommun",121+4 m²,4,375,2995000
Såld 15 oktober 2020,Briljantvägen 23,"Kode,          Kungälvs kommun",149+6 m²,6,445,4150000
Såld 13 oktober 2020,Överås 110,"Ytterby,          Kungälvs kommun",168+57 m²,6,600,6545000
Såld 13 oktober 2020,Glose 660,"Kärna,          Kungälvs kommun",81+3 m²,3,703,2900000
Såld 10 oktober 2020,Klockarvägen 4,"Diseröd,          Kungälvs kommun",154+6 m²,6,561,3800000
Såld 9 oktober 2020,Hagtornsvägen 7,"Diseröd,          Kungälvs kommun",112+112 m²,6,825,4500000
Såld 8 oktober 2020,Stenåldersgatan 52,"Stället,          Kungälvs kommun",117+4 m²,4,345,4800000
Såld 7 oktober 2020,Diamantvägen 36,"Kungälv - Kode,          Kungälvs kommun",123+5 m²,5,510,3775000
Såld 7 oktober 2020,Hammar 350,"Kornhall,          Kungälvs kommun",148+6 m²,6,143,4500000
Såld 1 oktober 2020,Munkegärdegatan 21,"Munkegärde,          Kungälvs kommun",118+4 m²,4,179,4300000
Såld 30 september 2020,Häljeröd 130,"Bohuslän,          Kungälvs kommun",128+4 m²,4,267,3930000
Såld 29 september 2020,Solbräcke 212,"Solbräcke,          Kungälvs kommun",144+6 m²,6,976,4995000
Såld 28 september 2020,Korpvägen 265,"Ullstorp,          Kungälvs kommun",133+18 m²,6,401,5950000
Såld 28 september 2020,Vallhjonsgatan 8,"Marstrand - Koön,          Kungälvs kommun",162+6 m²,6,748,8500000
Såld 26 september 2020,Hallbjörtorp 370,"Kärna,          Kungälvs kommun",30+30 m²,2,535,2900000
Såld 26 september 2020,Rådmansgatan 4,"Kungälv - Centrum,          Kungälvs kommun",221+10 m²,6,678,6400000
Såld 25 september 2020,Knaverstad-Ryr 590,"Aröd,          Kungälvs kommun",80+3 m²,3,7,3100000
Såld 24 september 2020,Häljeröd 390,"Diseröd,          Kungälvs kommun",115+37 m²,5,700,4500000
Såld 24 september 2020,Grenvägen 9,"Tjuvkil,          Kungälvs kommun",56+2 m²,3,215,2530000
Såld 24 september 2020,Solskiftegatan 29,"Ytterby,          Kungälvs kommun",192+56 m²,7,932,5700000
Såld 23 september 2020,Hermelingatan 11,"Kungälv - Olseröd,          Kungälvs kommun",126+25 m²,5,548,5600000
Såld 22 september 2020,Ställets bygata 160,"Ytterby - Stället,          Kungälvs kommun",165+7 m²,7,823,5900000
Såld 21 september 2020,Västerhöjdsvägen 30,"Kärna,          Kungälvs kommun",104+5 m²,5,250,3760000
Såld 21 september 2020,Havregången 11,"Centrum,          Kungälvs kommun",150+42 m²,4,588,4400000
Såld 20 september 2020,Nereby 340,"Harestad,          Kungälvs kommun",129+5 m²,5,344,2700000
Såld 18 september 2020,Länsmansvägen 5,"Ytterby,          Kungälvs kommun",108+136 m²,5,573,4600000
Såld 17 september 2020,Duvesjön 302,"Duvesjön,          Kungälvs kommun",120+74 m²,4,506,5615000
Såld 16 september 2020,Skårby station 455,"Bohuslän,          Kungälvs kommun",,,800,3995000
Såld 16 september 2020,Klövergången 6,"Centralt,          Kungälvs kommun",120+5 m²,5,402,3440000
Såld 15 september 2020,Västerhöjdsvägen 40,"Kärna,          Kungälvs kommun",107+8 m²,4,274,4100000
Såld 13 september 2020,Dösebacka 450,"Diseröd,          Kungälvs kommun",104+40 m²,5,320,3520000
Såld 11 september 2020,Duvesjön 362,"Diseröd,          Kungälvs kommun",120+4 m²,4,24,4220000
Såld 11 september 2020,Fjärdingsgatan 9,"Ytterby,          Kungälvs kommun",120+68 m²,5,680,4650000
Såld 10 september 2020,Havregången 9,"Kungälv,          Kungälvs kommun",181+7 m²,7,402,4415000
Såld 10 september 2020,Stinneröd 160,"Romelanda,          Kungälvs kommun",96+5 m²,5,815,3525000
Såld 9 september 2020,Löstorp 180,"Kareby,          Kungälvs kommun",48+20 m²,,425,5500000
Såld 9 september 2020,Trankärr 210,"Centralt,          Kungälvs kommun",209+47 m²,8,855,6700000
Såld 9 september 2020,Trankärr 230,"Centralt,          Kungälvs kommun",152+34 m²,6,56,4795000
Såld 8 september 2020,Stora Ryr 110,"Lycke,          Kungälvs kommun",116+76 m²,7,434,3795000
Såld 8 september 2020,Kungälvsvägen 64,"Centralt,          Kungälvs kommun",137+58 m²,5,853,5350000
Såld 5 september 2020,Bremnäs 190,"Lycke,          Kungälvs kommun",120+91 m²,,559,2700000
Såld 5 september 2020,Prejelvägen 117,"Ullstorp,          Kungälvs kommun",122+15 m²,5,596,5560000
Såld 4 september 2020,Lievägen 234,"Kungälv,          Kungälvs kommun",106+4 m²,4,319,4850000
Såld 3 september 2020,Situlagatan 4,"Stället,          Kungälvs kommun",138+5 m²,5,636,6040000
Såld 3 september 2020,Djupuddsvägen 2,"Marstrand - Instön,          Kungälvs kommun",135+5 m²,5,268,5100000
Såld 3 september 2020,Hallbjörtorp 410,"Kärna,          Kungälvs kommun",172+6 m²,6,884,5050000
Såld 1 september 2020,Tvetgatan 223,"Tveten,          Kungälvs kommun",130+5 m²,5,138,3375000
Såld 30 augusti 2020,Grönviksvägen 22,"Kärna / Sundhammar,          Kungälvs kommun",130+70 m²,4,741,6800000
Såld 28 augusti 2020,Kungälvsvägen 37,"Grinden,          Kungälvs kommun",89+4 m²,4,227,3981000
Såld 27 augusti 2020,Marielundsvägen 11,"Koön,          Kungälvs kommun",166+6 m²,6,74,6145000
Såld 27 augusti 2020,Harkvägen 347,"Ullstorp,          Kungälvs kommun",126+4 m²,4,,4500000
Såld 23 augusti 2020,Romelandavägen 110,"Centralt,          Kungälvs kommun",125+37 m²,4,701,3700000
Såld 21 augusti 2020,Kareby kyrkväg 258,"Kareby,          Kungälvs kommun",106+4 m²,4,617,3300000
Såld 21 augusti 2020,Gråstensvägen 14,"Kode,          Kungälvs kommun",94+96 m²,5,424,3550000
Såld 21 augusti 2020,Klövergången 7,"Centralt,          Kungälvs kommun",125+4 m²,4,401,4300000
Såld 20 augusti 2020,Stora Risby 540,"Bohuslän,          Kungälvs kommun",47+3 m²,3,902,2725000
Såld 20 augusti 2020,Rävo 120,"Hålta,          Kungälvs kommun",96+64 m²,5,819,2300000
Såld 17 augusti 2020,Rådmansgatan 21,"Kungälv - Centrum,          Kungälvs kommun",120+74 m²,5,964,6530000
Såld 13 augusti 2020,Ametistvägen 12,"Kode,          Kungälvs kommun",107+5 m²,5,918,4250000
Såld 13 augusti 2020,Lingonvägen 11,"Centralt,          Kungälvs kommun",123+24 m²,4,742,5700000
Såld 12 augusti 2020,Munkegärdegatan 313,"Munkegärde,          Kungälvs kommun",135+20 m²,5,309,4800000
Såld 12 augusti 2020,Norrmannebo 440,"Romelanda,          Kungälvs kommun",81+79 m²,5,36,3550000
Såld 12 augusti 2020,Rostock 170,"Romelanda,          Kungälvs kommun",84+88 m²,4,544,3500000
Såld 10 augusti 2020,Hallbjörtorp 350,"Kärna,          Kungälvs kommun",130+40 m²,7,81,5100000
Såld 10 augusti 2020,Harkvägen 337,"Ullstorp,          Kungälvs kommun",131+5 m²,5,,5410000
Såld 5 augusti 2020,Mjölnarvägen 3,"Diseröd,          Kungälvs kommun",137+5 m²,5,534,3830000
Såld 4 augusti 2020,Bredsten 300,"Bredsten,          Kungälvs kommun",119 m²,,889,4100000
Såld 4 augusti 2020,Stinneröd 130,"Romelanda,          Kungälvs kommun",187+6 m²,6,468,4150000
Såld 3 augusti 2020,Spaghamnsvägen 10,"Tjuvkil nära Marstrand,          Kungälvs kommun",165+20 m²,5,280,12500000
Såld 31 juli 2020,Storskiftegatan 13,"Tega,          Kungälvs kommun",130+5 m²,5,145,3800000
Såld 30 juli 2020,Hålta Annex 110,"Hålta,          Kungälvs kommun",217+8 m²,8,350,7250000
Såld 28 juli 2020,Lid 170,"Diseröd,          Kungälvs kommun",86+51 m²,4,235,2460000
Såld 27 juli 2020,Knaverstad-Ryr 450,"Kode,          Kungälvs kommun",78+3 m²,3,885,3500000
Såld 25 juli 2020,Bergsgatan 10,"Marstrand Koön,          Kungälvs kommun",175+100 m²,6,896,6900000
Såld 24 juli 2020,Bråta 140,"Romelanda,          Kungälvs kommun",35+5 m²,3,165,1475000
Såld 23 juli 2020,Grokareby 210,"Kareby,          Kungälvs kommun",70+4 m²,4,713,1250000
Såld 22 juli 2020,Hallebäcksvägen 13,"Timmervik,          Kungälvs kommun",113+50 m²,5,636,4875000
Såld 21 juli 2020,Gamla Kungälvsvägen 9B,"Kungälv - Centralt,          Kungälvs kommun",194+6 m²,6,61,7300000
Såld 21 juli 2020,Diamantvägen 52,"Kode,          Kungälvs kommun",156+5 m²,5,557,4750000
Såld 21 juli 2020,Ametistvägen 4,"Kode,          Kungälvs kommun",98+95 m²,5,866,4400000
Såld 14 juli 2020,Bollestad 310,"Bollestad,          Kungälvs kommun",140+6 m²,6,876,4150000
Såld 10 juli 2020,Holm 310,"Kungälv - Kärna,          Kungälvs kommun",66+36 m²,3,77,2970000
Såld 10 juli 2020,Skårshöjd 9,"Kärna,          Kungälvs kommun",112+4 m²,4,988,4500000
Såld 9 juli 2020,Bärtas väg 8,"Kode,          Kungälvs kommun",57+3 m²,3,503,3100000
Såld 9 juli 2020,Myrebackavägen 305,"Kareby,          Kungälvs kommun",166+6 m²,6,504,4630000
Såld 3 juli 2020,Gråstensvägen 16,"Kode,          Kungälvs kommun",97+4 m²,4,381,3650000
Såld 2 juli 2020,Knaverstad-Ryr 580,"Aröd,          Kungälvs kommun",158+4 m²,6,12,3650000
Såld 1 juli 2020,Pölen 120,"Kungälv - Hålta,          Kungälvs kommun",138+75 m²,5,812,4800000
Såld 30 juni 2020,Lerskärsvägen 18,"Kungälv - Tjuvkil,          Kungälvs kommun",65+65 m²,5,216,3400000
Såld 30 juni 2020,Bremnäs 510,"Lycke,          Kungälvs kommun",85+45 m²,4,915,2350000
Såld 29 juni 2020,Nedre Rådalsvägen 18,"Aröd/timmervik,          Kungälvs kommun",90+5 m²,5,74,3100000
Såld 29 juni 2020,Hövdingagatan 3,"Komarken,          Kungälvs kommun",162+49 m²,5,626,5300000
Såld 28 juni 2020,Enekullsvägen 24,"Ytterby,          Kungälvs kommun",200+24 m²,7,980,5500000
Såld 26 juni 2020,Bärnstensvägen 9,"Kode,          Kungälvs kommun",100+95 m²,5,547,4000000
Såld 25 juni 2020,Skårsäng 115,"Kärna,          Kungälvs kommun",114+13 m²,5,616,4400000
Såld 25 juni 2020,Över-Restad 164,"Hålta,          Kungälvs kommun",6 m²,6,77,4670000
Såld 24 juni 2020,Staby 260,"Staby,          Kungälvs kommun",115+90 m²,6,125,2650000
Såld 23 juni 2020,Lundby 380,"Kareby,          Kungälvs kommun",140+5 m²,5,818,4200000
Såld 23 juni 2020,Plogvägen 170,"Ullstorp,          Kungälvs kommun",122+5 m²,5,266,5125000
Såld 18 juni 2020,Settungsvägen 28,"Kungälv,          Kungälvs kommun",141+24 m²,6,429,6150000
Såld 18 juni 2020,Toftåsen 6,"Bohuslän,          Kungälvs kommun",74+3 m²,3,66,3050000
Såld 18 juni 2020,Rörtången 111C,"Rörtången,          Kungälvs kommun",155+100 m²,4,951,9600000
Såld 17 juni 2020,Mellan-Restad 340,"Bohuslän,          Kungälvs kommun",130+4 m²,4,355,3900000
Såld 17 juni 2020,Skäggstorp 160,"Kode,          Kungälvs kommun",28+2 m²,2,257,1350000
Såld 16 juni 2020,Ulvesund 110,"Ytterby,          Kungälvs kommun",153+50 m²,5,830,4200000
Såld 15 juni 2020,Fridhemsgatan 3,"Centrum,          Kungälvs kommun",108+74 m²,5,851,5200000
Såld 15 juni 2020,Ödsmål 360,"Rörtången,          Kungälvs kommun",105+66 m²,5,794,3840000
Såld 10 juni 2020,Västra Röd 390,"Kärna,          Kungälvs kommun",123+25 m²,5,843,3295000
Såld 10 juni 2020,Gårdskiftegatan 39,"Övre Tega,          Kungälvs kommun",171+21 m²,6,830,5450000
Såld 10 juni 2020,Rådalsvägen 16,"Aröd,          Kungälvs kommun",61+2 m²,2,90,2100000
Såld 9 juni 2020,Staby 490,"Kärna,          Kungälvs kommun",100+70 m²,4,230,5000000
Såld 9 juni 2020,Matskärsvägen 36,"Tjuvkil,          Kungälvs kommun",56+3 m²,3,77,2595000
Såld 9 juni 2020,Instö backe 110,"Instön,          Kungälvs kommun",49+2 m²,2,27,2400000
Såld 9 juni 2020,Smidesvägen 6,"Kode,          Kungälvs kommun",95+60 m²,6,846,3860000
Såld 8 juni 2020,Prejelvägen 126,"Ullstorp,          Kungälvs kommun",122+5 m²,5,301,5050000
Såld 7 juni 2020,Bräcke 320,"Kärna,          Kungälvs kommun",148+56 m²,6,880,5850000
Såld 5 juni 2020,Sundviksvägen 46,"Kungälv - Tjuvkil,          Kungälvs kommun",117+5 m²,5,325,5650000
Såld 5 juni 2020,Staby 350,"Kungälv - Kärna,          Kungälvs kommun",145+75 m²,5,911,3300000
Såld 4 juni 2020,Berghällsvägen 10,"Kode,          Kungälvs kommun",52+16 m²,3,224,2495000
Såld 4 juni 2020,Tunge 310,"Bohuslän,          Kungälvs kommun",68+3 m²,3,417,2055000
Såld 4 juni 2020,Bräcke 108,"Kärna,          Kungälvs kommun",190+5 m²,5,662,5700000
Såld 4 juni 2020,Lingonvägen 23,"Centralt,          Kungälvs kommun",175+24 m²,6,731,6150000
Såld 4 juni 2020,Skrindvägen 20,"Ullstorp,          Kungälvs kommun",141+5 m²,5,488,5450000
Såld 3 juni 2020,Hammar 570,"Bohuslän,          Kungälvs kommun",129+4 m²,4,315,3800000
Såld 3 juni 2020,Duvesjön 333,"Duvesjön,          Kungälvs kommun",125+31 m²,4,73,3650000
